Distributor ASI Number,Supplier ASI Number,Freight,Invoice No,Invoice Date,Supplier Sales Order No,Final Bill Code,Distributor Purchase Order Number,Distributor Name,Distributor Address,Distributor City,Distributor State,Distributor Zip,Supplier Name,Supplier Address,Supplier City,Supplier State,Supplier Zip,Ship To Name,Ship To City,Ship To State,Ship to Zip,Product (item) Number,Product Description,Quantity Shipped,Unit Price,Unit of Measure,Item Extended Price,Invoice Note,Terms,Ship Via,Actual Ship Date,Total Invoice Tax Amount,Total Invoice Amount,
356000,48500,62.00,SAJ/2017/3474,2017-05-31, ,PB SAJ/2017/3474,WS2344969,HALO BRANDED SOLUTIONS,PO BOX 657 1980 INDUSTRIAL DRIVE,STERLING,Illinois,61081, , , , , ,PROFESSIONAL INSURANCE AGENTS OF WI,MADISON,Wisconsin,53719,Q1300,[DP-9016] Canvas Zipper Tote Bag,100.0,3.7734,Unit(s),377.34,TRACK# 1Z02193A0397919896 6 CTNS  248 LBS SHPD 5/22,Net 30,UPS Ground,2017-05-03, ,1571.36,
356000,48500,62.00,SAJ/2017/3474,2017-05-31, ,PB SAJ/2017/3474,WS2344969,HALO BRANDED SOLUTIONS,PO BOX 657 1980 INDUSTRIAL DRIVE,STERLING,Illinois,61081, , , , , ,PROFESSIONAL INSURANCE AGENTS OF WI,MADISON,Wisconsin,53719,Q1300,[DP-9016] Canvas Zipper Tote Bag,100.0,3.7734,Unit(s),377.34,TRACK# 1Z02193A0397919896 6 CTNS  248 LBS SHPD 5/22,Net 30,UPS Ground,2017-05-03, ,1571.36,
356000,48500,6.00,SAJ/2017/2659,2017-05-12, ,PB SAJ/2017/2659,4023084,HALO BRANDED SOLUTIONS,PO BOX 657 1980 INDUSTRIAL DRIVE,STERLING,Illinois,61081, , , , , ,COLOR 3 EMBROIDERY INC,WARREN,Ohio,44483,DP-994 Royal,Micro Mink Sherpa Blankets,24.0,16.17,Unit(s),388.08,TRACK# 1Z2072730343240008 2 CTNS  56 LBS SHPD 4/4 BLANK ORDER,Net 30,UPS Ground,2017-04-07, ,394.08,
356000,48500,9.00,SAJ/2017/2038,2017-04-24, ,FB SAJ/2017/2038,4035743,HALO BRANDED SOLUTIONS,PO BOX 657 1980 INDUSTRIAL DRIVE,STERLING,Illinois,61081, , , , , ,HALO BRANDED SOLUTIONS INC,ROCK FALLS,Illinois,61071,DP-329 Translucent Blue,[DP-329] Stand-Up Grip Stapler,100.0,1.795,Unit(s),179.5,NO CHARGE FOR SET UP PER VALERIE,Net 30,UPS Ground,2017-04-20, ,188.5,
356000,48500,47.00,SAJ/2017/1724,2017-04-17, ,PB SAJ/2017/1724,WS2326835,HALO BRANDED SOLUTIONS,PO BOX 657 1980 INDUSTRIAL DRIVE,STERLING,Illinois,61081, , , , , ,TEXOR PETROLEUM CO,RIVERSIDE,Illinois,60546,DP-4550 White ,[DP-4550] SIMPLE BAND CELLPHONE HOLDER,702.0,0.7552,Unit(s),530.1504, ,Net 30,UPS Ground,2017-04-11, ,577.15,
356000,48500,30.00,SAJ/2017/1559,2017-04-12, ,PB SAJ/2017/1559,WS2326654,HALO BRANDED SOLUTIONS,PO BOX 657 1980 INDUSTRIAL DRIVE,STERLING,Illinois,61081, , , , , ,IVY TECH,GARY,Indiana,46409,DP-424 Green,[DP-424] Racer Pen,300.0,1.7955,Unit(s),538.65, ,Net 30,UPS Ground,2017-04-11, ,568.65,
356000,48500,39.40,SAJ/2017/1080,2017-03-29, ,FB SAJ/2017/1080,WS2310357,HALO BRANDED SOLUTIONS,PO BOX 657 1980 INDUSTRIAL DRIVE,STERLING,Illinois,61081, , , , , ,HABITAT FOR HUMANITY,BELLFLOWER,California,90706,DP-302 Translucent Green,[DP-302] Soft Vinyl House Tag,500.0,0.336,Unit(s),168.0, ,Net 30,UPS Ground,2017-03-21, ,375.4,
356000,48500,39.40,SAJ/2017/1080,2017-03-29, ,FB SAJ/2017/1080,WS2310357,HALO BRANDED SOLUTIONS,PO BOX 657 1980 INDUSTRIAL DRIVE,STERLING,Illinois,61081, , , , , ,HABITAT FOR HUMANITY,BELLFLOWER,California,90706,DP-302 Translucent Blue,[DP-302] Soft Vinyl House Tag,500.0,0.336,Unit(s),168.0, ,Net 30,UPS Ground,2017-03-21, ,375.4,
356000,48500,43.00,SAJ/2017/1041,2017-03-28, ,FB SAJ/2017/1041,WS2310955,HALO BRANDED SOLUTIONS,PO BOX 657 1980 INDUSTRIAL DRIVE,STERLING,Illinois,61081, , , , , ,VALLEY FARM EQUIPMENT INC.,SCIENCE HILL,Kentucky,42553,DP-334 C Red,[DP-334] Plastic Tuff Tag,500.0,0.252,Unit(s),126.0, ,Net 30,UPS Ground,2017-03-23, ,169.0,
356000,48500,43.48,SAJ/2017/1039,2017-03-28, ,FB SAJ/2017/1039,WS2310044,HALO BRANDED SOLUTIONS,PO BOX 657 1980 INDUSTRIAL DRIVE,STERLING,Illinois,61081, , , , , ,MULLINAX BODY SHOP,MONCKS CORNER,South Carolina,29461,DP-102 Glow,[DP-102] #1 Tag,500.0,0.264,Unit(s),132.0, ,Net 30,UPS Ground,2017-03-21, ,175.48,
356000,48500,59.00,SAJ/2017/0959,2017-03-27, ,FB SAJ/2017/0959,WS2301742,HALO BRANDED SOLUTIONS,PO BOX 657 1980 INDUSTRIAL DRIVE,STERLING,Illinois,61081, , , , , ,AMERICAN DAIRY ASSOC DC INC,NORTH SYRACUSE,New York,13212,NB-550,[DP-3002] Spiral Notebook W/ Pen And 4C Dome,50.0,2.658,Unit(s),132.9,TRACK# 1Z255A000340052463 1 CTN  23 LBS SHPD 3/24,Net 30,UPS Ground,2017-03-06, ,191.9,
